# x  g(x)  F_p(x)  F_p'(x)  F_p''(x)  antideriv(x)
0.295  0.815174  0.817095  -2.80527  -18.9649  0.111427
0.3  0.80205  0.802838  -2.89645  -17.5041  0.115477
0.305  0.788458  0.788143  -2.98032  -16.049  0.119455
0.31  0.77441  0.773047  -3.05698  -14.6206  0.123358
0.315  0.759921  0.757585  -3.12661  -13.2396  0.127184
0.32  0.745004  0.741792  -3.18949  -11.9256  0.130933
0.325  0.729674  0.7257  -3.24601  -10.6971  0.134602
0.33  0.713944  0.709342  -3.29663  -9.57025  0.138189
0.335  0.69783  0.692743  -3.3419  -8.55927  0.141695
0.34  0.681346  0.67593  -3.38243  -7.67548  0.145117
0.345  0.664507  0.658926  -3.41888  -6.92718  0.148454
0.35  0.647329  0.641747  -3.45194  -6.31937  0.151706
0.355  0.629828  0.624411  -3.48231  -5.85356  0.154871
0.36  0.61202  0.606927  -3.51071  -5.52771  0.157949
0.365  0.593919  0.589306  -3.53781  -5.3362  0.16094
0.37  0.575543  0.57155  -3.56428  -5.27  0.163842
0.375  0.556908  0.553663  -3.5907  -5.31684  0.166655
0.38  0.538029  0.535642  -3.61761  -5.4615  0.169379
0.385  0.518924  0.517485  -3.64545  -5.68618  0.172012
0.39  0.499609  0.499186  -3.67457  -5.971  0.174553
0.395  0.4801  0.480737  -3.70523  -6.29446  0.177003
0.4  0.460415  0.462131  -3.73755  -6.63403  0.17936
0.405  0.44057  0.443359  -3.77156  -6.96673  0.181624
0.41  0.420582  0.424413  -3.80716  -7.26972  0.183794
0.415  0.400467  0.405285  -3.84417  -7.52094  0.185868
0.42  0.380242  0.385969  -3.88225  -7.69964  0.187846
0.425  0.359924  0.366461  -3.92101  -7.78692  0.189727
0.43  0.33953  0.346759  -3.95994  -7.76627  0.19151
0.435  0.319076  0.326862  -3.99847  -7.62392  0.193195
0.44  0.298578  0.306776  -4.03596  -7.3492  0.194779
0.445  0.278054  0.286506  -4.07173  -6.93482  0.196262
0.45  0.25752  0.266062  -4.10507  -6.37696  0.197644
0.455  0.236991  0.24546  -4.13526  -5.6754  0.198922
0.46  0.216484  0.224716  -4.16159  -4.83343  0.200098
0.465  0.196014  0.203852  -4.18337  -3.85777  0.201169
0.47  0.175599  0.182891  -4.19996  -2.75829  0.202136
0.475  0.155252  0.161862  -4.21077  -1.54775  0.202998
0.48  0.134991  0.140794  -4.21528  -0.241463  0.203755
0.485  0.114829  0.11972  -4.21305  1.1432  0.204406
0.49  0.0947814  0.0986754  -4.20375  2.5872  0.204952
0.495  0.0748637  0.0776952  -4.18711  4.07038  0.205393
0.5  0.0550902  0.0568167  -4.16301  5.57193  0.205729
0.505  0.035475  0.0360776  -4.1314  7.0709  0.205961
0.51  0.0160323  0.0155152  -4.09234  8.54669  0.20609
0.515  -0.00322435  -0.00483368  -4.046  9.97955  0.206117
0.52  -0.0222814  -0.0249332  -3.99265  11.3509  0.206042
0.525  -0.0411257  -0.044749  -3.93263  12.6439  0.205868
0.53  -0.0597445  -0.064249  -3.86637  13.8434  0.205595
0.535  -0.0781251  -0.0834031  -3.79437  14.9368  0.205226
0.54  -0.0962555  -0.102184  -3.71719  15.9135  0.204762
0.545  -0.114124  -0.120567  -3.63544  16.7656  0.204205
0.55  -0.131718  -0.138532  -3.54975  17.4878  0.203557
0.555  -0.149028  -0.156059  -3.46079  18.0773  0.20282
0.56  -0.166042  -0.173135  -3.3692  18.5337  0.201997
0.565  -0.18275  -0.189748  -3.27567  18.8592  0.20109
0.57  -0.199141  -0.20589  -3.18082  19.058  0.2001
0.575  -0.215207  -0.221555  -3.08529  19.1365  0.199032
0.58  -0.230938  -0.236743  -2.98964  19.1027  0.197886
0.585  -0.246324  -0.251453  -2.89443  18.9662  0.196665
0.59  -0.261358  -0.265688  -2.80014  18.7379  0.195372
0.595  -0.276031  -0.279456  -2.70719  18.4296  0.194009
0.6  -0.290336  -0.292763  -2.61595  18.0537  0.192578
0.605  -0.304265  -0.305619  -2.52674  17.6231  0.191082
0.61  -0.317811  -0.318034  -2.43979  17.1507  0.189523
0.615  -0.330967  -0.330021  -2.35528  16.6495  0.187902
0.62  -0.343729  -0.341591  -2.27332  16.132  0.186223
0.625  -0.35609  -0.352759  -2.19397  15.61  0.184487
0.63  -0.368044  -0.363535  -2.11721  15.0949  0.182696
0.635  -0.379587  -0.373935  -2.04299  14.597  0.180852
0.64  -0.390715  -0.383969  -1.9712  14.1255  0.178958
0.645  -0.401424  -0.393651  -1.90168  13.6888  0.177013
0.65  -0.411709  -0.40299  -1.83424  13.2938  0.175022
0.655  -0.421568  -0.411996  -1.76866  12.9465  0.172984
0.66  -0.430998  -0.420679  -1.70469  12.6515  0.170902
0.665  -0.439997  -0.429045  -1.64205  12.4123  0.168778
0.67  -0.448563  -0.437101  -1.58047  12.2311  0.166612
0.675  -0.456694  -0.444851  -1.51964  12.109  0.164407
0.68  -0.464389  -0.452298  -1.45928  12.0461  0.162164
0.685  -0.471647  -0.459444  -1.39908  12.0413  0.159885
0.69  -0.478469  -0.466289  -1.33877  12.0929  0.15757
0.695  -0.484853  -0.472831  -1.27807  12.198  0.155222
0.7  -0.490802  -0.479069  -1.21671  12.3532  0.152842
0.705  -0.496315  -0.484997  -1.15446  12.5542  0.150432
0.71  -0.501393  -0.490611  -1.0911  12.7964  0.147993
0.715  -0.506039  -0.495906  -1.02643  13.0746  0.145527
0.72  -0.510254  -0.500873  -0.960301  13.3833  0.143035
0.725  -0.51404  -0.505506  -0.89256  13.7166  0.140518
0.73  -0.517401  -0.509796  -0.823104  14.0685  0.13798
0.735  -0.520339  -0.513734  -0.751855  14.4329  0.135421
0.74  -0.522858  -0.517311  -0.678765  14.8036  0.132843
0.745  -0.52496  -0.520519  -0.603818  15.1746  0.130249
0.75  -0.526652  -0.523347  -0.527028  15.5398  0.127639
0.755  -0.527935  -0.525786  -0.448439  15.8935  0.125016
0.76  -0.528816  -0.527828  -0.368123  16.2299  0.122382
0.765  -0.5293  -0.529465  -0.286177  16.5439  0.119738
0.77  -0.52939  -0.530687  -0.202729  16.8305  0.117088
0.775  -0.529094  -0.53149  -0.117926  17.0849  0.114432
0.78  -0.528416  -0.531865  -0.0319404  17.303  0.111773
0.785  -0.527363  -0.531807  0.0550372  17.481  0.109114
0.79  -0.52594  -0.531313  0.142797  17.6154  0.106456
0.795  -0.524156  -0.530378  0.231114  17.7034  0.103802
0.8  -0.522016  -0.529001  0.31975  17.7425  0.101153
0.805  -0.519527  -0.527181  0.408454  17.7307  0.0985124
0.81  -0.516696  -0.524917  0.496969  17.6664  0.0958819
0.815  -0.513531  -0.522212  0.585029  17.5487  0.0932639
0.82  -0.51004  -0.519068  0.672366  17.377  0.0906606
0.825  -0.506231  -0.51549  0.758709  17.151  0.088074
0.83  -0.50211  -0.511483  0.843787  16.8712  0.0855064
0.835  -0.497687  -0.507055  0.927333  16.5383  0.0829599
0.84  -0.49297  -0.502213  1.00908  16.1535  0.0804365
0.845  -0.487967  -0.496967  1.08878  15.7181  0.0779384
0.85  -0.482687  -0.491329  1.16618  15.2342  0.0754675
0.855  -0.477138  -0.485309  1.24105  14.7039  0.0730258
0.86  -0.471329  -0.478923  1.31315  14.1297  0.070615
0.865  -0.465269  -0.472183  1.38228  13.5144  0.0682371
0.87  -0.458968  -0.465105  1.44823  12.8611  0.0658938
0.875  -0.452433  -0.457706  1.51083  12.1729  0.0635866
0.88  -0.445675  -0.450003  1.56991  11.4533  0.0613172
0.885  -0.438702  -0.442013  1.62531  10.7059  0.059087
0.89  -0.431524  -0.433756  1.67692  9.93425  0.0568975
0.895  -0.424151  -0.425251  1.72462  9.14221  0.0547499
0.9  -0.41659  -0.416517  1.76832  8.33355  0.0526454
0.905  -0.408853  -0.407574  1.80794  7.51212  0.0505851
0.91  -0.400947  -0.398444  1.84343  6.68173  0.04857
0.915  -0.392883  -0.389147  1.87475  5.84619  0.0466009
0.92  -0.38467  -0.379704  1.90188  5.00922  0.0446787
0.925  -0.376317  -0.370135  1.92484  4.17447  0.0428041
0.93  -0.367834  -0.360462  1.94364  3.34549  0.0409776
0.935  -0.35923  -0.350706  1.95831  2.52567  0.0391996
0.94  -0.350513  -0.340886  1.96892  1.71828  0.0374706
0.945  -0.341694  -0.331023  1.97552  0.92642  0.0357908
0.95  -0.332782  -0.321137  1.97821  0.152996  0.0341604
0.955  -0.323784  -0.311247  1.97709  -0.599271  0.0325795
0.96  -0.314712  -0.301372  1.97226  -1.32787  0.0310479
0.965  -0.305573  -0.291531  1.96385  -2.03049  0.0295657
0.97  -0.296376  -0.28174  1.952  -2.70506  0.0281325
0.975  -0.28713  -0.272016  1.93685  -3.34973  0.0267482
0.98  -0.277843  -0.262376  1.91856  -3.96287  0.0254122
0.985  -0.268525  -0.252836  1.89728  -4.54308  0.0241242
0.99  -0.259183  -0.243408  1.87318  -5.08921  0.0228837
0.995  -0.249826  -0.234108  1.84644  -5.60031  0.0216899
1  -0.240462  -0.224948  1.81724  -6.07566  0.0205424
