# x g ann dg ann_dg ddg ann_ddg ann_antiderivative
0.3 0.80205 0.802183 -2.67204 -2.68021 -18.7376 -18.765 0.021733
0.305 0.788458 0.788549 -2.76441 -2.7727 -18.2092 -18.231 0.0257101
0.31 0.77441 0.77446 -2.85411 -2.8625 -17.6677 -17.6839 0.0296178
0.315 0.759921 0.759929 -2.94107 -2.94952 -17.1137 -17.1243 0.0334539
0.32 0.745004 0.74497 -3.02523 -3.03372 -16.548 -16.5527 0.0372163
0.325 0.729674 0.729597 -3.10653 -3.11503 -15.971 -15.9699 0.0409029
0.33 0.713944 0.713824 -3.18492 -3.1934 -15.3834 -15.3764 0.0445117
0.335 0.69783 0.697668 -3.26035 -3.26878 -14.7858 -14.7729 0.0480405
0.34 0.681346 0.681142 -3.33276 -3.34111 -14.1788 -14.16 0.0514877
0.345 0.664507 0.664262 -3.40212 -3.41036 -13.5631 -13.5384 0.0548514
0.35 0.647329 0.647043 -3.46838 -3.47648 -12.9394 -12.9088 0.0581298
0.355 0.629828 0.629502 -3.5315 -3.53944 -12.3081 -12.2717 0.0613213
0.36 0.61202 0.611654 -3.59145 -3.59919 -11.6701 -11.628 0.0644243
0.365 0.593919 0.593516 -3.64819 -3.65571 -11.026 -10.9782 0.0674373
0.37 0.575543 0.575103 -3.7017 -3.70896 -10.3763 -10.323 0.070359
0.375 0.556908 0.556432 -3.75195 -3.75893 -9.72185 -9.66319 0.0731879
0.38 0.538029 0.537519 -3.79891 -3.80559 -9.06321 -8.99933 0.0759229
0.385 0.518924 0.518381 -3.84257 -3.84892 -8.40106 -8.33214 0.0785627
0.39 0.499609 0.499035 -3.88292 -3.8889 -7.73605 -7.66228 0.0811064
0.395 0.4801 0.479498 -3.91993 -3.92554 -7.06885 -6.99045 0.0835528
0.4 0.460415 0.459786 -3.9536 -3.95881 -6.40011 -6.3173 0.085901
0.405 0.44057 0.439915 -3.98393 -3.98871 -5.73048 -5.64351 0.0881504
0.41 0.420582 0.419904 -4.01091 -4.01524 -5.06061 -4.96975 0.0903
0.415 0.400467 0.399769 -4.03454 -4.03841 -4.39115 -4.29667 0.0923492
0.42 0.380242 0.379526 -4.05482 -4.05821 -3.72273 -3.62493 0.0942975
0.425 0.359924 0.359192 -4.07177 -4.07466 -3.05599 -2.95519 0.0961443
0.43 0.33953 0.338785 -4.08538 -4.08777 -2.39155 -2.28808 0.0978893
0.435 0.319076 0.31832 -4.09569 -4.09755 -1.73005 -1.62423 0.0995321
0.44 0.298578 0.297815 -4.10269 -4.10402 -1.07209 -0.964283 0.101072
0.445 0.278054 0.277285 -4.10642 -4.1072 -0.418288 -0.308843 0.10251
0.45 0.25752 0.256748 -4.10688 -4.10711 0.23077 0.341478 0.103845
0.455 0.236991 0.23622 -4.10412 -4.10379 0.874492 0.986085 0.105078
0.46 0.216484 0.215716 -4.09815 -4.09726 1.5123 1.62439 0.106207
0.465 0.196014 0.195252 -4.089 -4.08756 2.14362 2.25582 0.107235
0.47 0.175599 0.174845 -4.07672 -4.07472 2.76791 2.87981 0.10816
0.475 0.155252 0.15451 -4.06134 -4.05877 3.38461 3.49582 0.108983
0.48 0.134991 0.134263 -4.04289 -4.03977 3.9932 4.10331 0.109705
0.485 0.114829 0.114118 -4.02142 -4.01776 4.59314 4.70175 0.110326
0.49 0.0947814 0.09409 -3.99697 -3.99277 5.18394 5.29064 0.110847
0.495 0.0748637 0.0741947 -3.9696 -3.96487 5.76511 5.86949 0.111267
0.5 0.0550902 0.0544461 -3.93934 -3.93409 6.33615 6.43782 0.111589
0.505 0.035475 0.0348585 -3.90625 -3.90051 6.89662 6.99516 0.111812
0.51 0.0160323 0.0154457 -3.87039 -3.86416 7.44605 7.54109 0.111938
0.515 -0.00322435 -0.00377865 -3.83181 -3.82512 7.98401 8.07515 0.111967
0.52 -0.0222814 -0.0228011 -3.79057 -3.78343 8.51009 8.59695 0.1119
0.525 -0.0411257 -0.0416086 -3.74673 -3.73917 9.02387 9.1061 0.111739
0.53 -0.0597445 -0.0601886 -3.70035 -3.69239 9.52498 9.6022 0.111485
0.535 -0.0781251 -0.0785285 -3.6515 -3.64317 10.013 10.0849 0.111138
0.54 -0.0962555 -0.0966163 -3.60025 -3.59156 10.4877 10.5539 0.1107
0.545 -0.114124 -0.11444 -3.54665 -3.53765 10.9486 11.0088 0.110172
0.55 -0.131718 -0.131989 -3.49078 -3.4815 11.3955 11.4494 0.109556
0.555 -0.149028 -0.149252 -3.43272 -3.42318 11.828 11.8753 0.108853
0.56 -0.166042 -0.166217 -3.37253 -3.36277 12.2459 12.2863 0.108064
0.565 -0.18275 -0.182876 -3.31028 -3.30034 12.6488 12.6822 0.107191
0.57 -0.199141 -0.199218 -3.24606 -3.23597 13.0366 13.0627 0.106236
